Date,SPX,USO,SLV,EUR/USD,GLD
2010-09-09,83.96,263.12,19.32,1.2732,121.56
2010-09-10,84.38,270.16,19.42,1.2693,121.73
2010-09-13,85.32,272.24,19.54,1.2717,121.62
2010-09-14,85.27,271.12,20.05,1.2872,124.02
2010-09-15,85.6,267.92,20.17,1.2992,123.94
2010-09-16,85.57,263.84,20.35,1.3015,124.63
2010-09-17,85.6,261.2,20.29,1.3076,124.54
2010-09-20,86.91,265.76,20.29,1.3044,124.87
2010-09-21,86.74,261.2,20.59,1.3067,126.01
2010-09-22,86.31,260.64,20.71,1.3257,126.2
2010-09-23,85.61,261.36,20.66,1.3391,126.3
2010-09-24,87.38,267.2,21.01,1.3319,126.69
2010-09-27,86.96,265.92,20.99,1.3479,126.72
2010-09-28,87.26,265.52,21.29,1.3439,127.85
2010-09-29,87.11,271.52,21.4,1.3571,127.95
2010-09-30,86.85,278.72,21.31,1.3628,127.91
2010-10-01,87.22,285.04,21.65,1.3622,128.91
2010-10-04,86.56,284.72,21.51,1.3777,128.46
2010-10-05,88.31,288.72,22.34,1.3674,130.99
2010-10-06,88.3,290.24,22.69,1.3834,131.81
2010-10-07,88.19,283.68,22.02,1.392,130.37
2010-10-08,88.69,289.2,22.73,1.3928,131.66
2010-10-11,88.77,284.8,22.78,1.3978,132.29
2010-10-12,89.04,285.2,22.84,1.388,131.96
2010-10-13,89.74,289.28,23.49,1.3917,134.07
2010-10-14,89.39,288.0,24.03,1.3967,134.75
2010-10-15,89.57,283.76,23.75,1.4072,133.68
2010-10-18,90.01,290.24,23.96,1.3964,134.28
2010-10-19,88.83,276.96,22.84,1.3936,130.11
2010-10-20,89.7,284.72,23.33,1.3739,131.32
2010-10-21,89.9,278.8,22.59,1.3963,129.47
2010-10-22,90.06,283.92,22.76,1.3917,129.73
2010-10-25,90.33,284.56,23.1,1.3944,130.85
2010-10-26,90.35,285.44,23.28,1.3949,130.88
2010-10-27,90.09,283.36,23.07,1.3854,129.52
2010-10-28,90.1,283.12,23.43,1.3778,131.24
2010-10-29,90.17,281.36,24.17,1.3778,132.62
2010-11-01,90.2,286.48,24.07,1.3975,131.92
2010-11-02,90.92,290.16,24.31,1.3911,132.49
2010-11-03,91.28,293.92,24.25,1.4036,131.57
2010-11-04,93.04,299.92,25.63,1.4127,136.03
2010-11-05,93.39,301.2,26.2,1.4228,136.38
2010-11-08,93.21,300.24,27.15,1.4076,137.78
2010-11-09,92.54,296.4,26.18,1.387,135.59
2010-11-10,92.92,304.32,26.72,1.3772,137.24
2010-11-11,92.57,302.72,27.11,1.3776,137.66
2010-11-12,91.47,291.76,25.52,1.3621,133.69
2010-11-15,91.34,292.0,24.93,1.3693,132.42
2010-11-16,89.92,283.6,24.93,1.3575,130.97
2010-11-17,89.96,277.84,25.0,1.3491,130.38
2010-11-18,91.29,284.0,26.35,1.3554,132.09
2010-11-19,91.54,281.76,26.74,1.3657,132.2
2010-11-22,91.46,280.4,27.17,1.3744,133.48
